Yaw(Z),Pitch(X),Roll(Y),DeltaTime(ns)
65.06238,16.325811,70.65734,2.3195484E7
68.52753,18.22752,74.78106,1.2513352E7
70.83886,19.882063,77.56341,2.1822066E7
73.2692,22.270369,80.37472,1.8190142E7
75.28373,24.764668,82.28752,2.1974668E7
77.21282,27.283754,83.746414,2.2035708E7
79.253815,29.68613,85.24461,2.1547384E7
80.7852,31.412416,86.497,5066381.0
82.62547,33.536804,88.1586,9400275.0
83.95875,35.32378,89.47647,2.289028E7
84.809845,36.92222,90.31107,3.5708836E7
85.480545,38.209587,90.65005,2.1181138E7
86.007126,38.929512,90.69883,1587060.0
86.6255,39.794353,90.75226,1.800702E7
87.162415,40.460693,90.94368,2.957424E7
87.6576,40.890232,91.09589,1.9990844E7
88.22194,41.098213,91.19913,2.2493514E7
88.65287,41.207077,91.25531,1.7060888E7
88.96984,41.31814,91.18929,2.0021364E7
89.052925,41.28539,91.00831,2.2005188E7
89.09388,41.06589,90.81981,2.1944148E7
89.024345,40.702827,90.61564,2.3164962E7
88.85067,40.34909,90.49494,4272852.0
88.48596,39.71536,90.24078,3.0886616E7
87.89947,38.888107,89.670586,1.5443308E7
87.09184,37.873165,88.80063,1.9899282E7
86.14567,36.706543,87.69428,2.7285212E7
85.37454,35.709423,86.7147,2563711.0
84.239525,34.156815,85.22824,1.2910117E7
82.834915,32.44325,83.403755,1.806806E7
81.104416,30.597462,81.20518,2.2096748E7
79.09647,28.590124,78.600334,1.79765E7
77.43431,26.96546,76.49342,2.1059056E7
75.09309,24.814344,73.524635,2.3317564E7
72.41204,22.73281,70.174484,1.6816724E7
69.11508,20.644964,66.38309,2.2066228E7
65.07549,18.724089,62.40688,1.7610254E7
61.47893,17.541327,58.977585,2.1852588E7
55.90561,16.264566,53.24289,2.0204486E7
49.707893,15.3011675,46.5885,1.8556386E7
43.400623,14.840854,40.136166,2.2646116E7
37.013195,14.43081,33.96493,1.959408E7
32.937157,14.119572,30.09151,1.8983672E7
28.214764,13.61646,25.3518,2.2096748E7
23.956167,13.253463,20.707167,2.0021364E7
20.088478,13.154876,16.193613,2.0143444E7
17.164501,13.117815,12.642921,1.9502518E7
15.9906645,12.881238,11.093614,1.9410956E7
15.567275,12.08044,10.353041,1.97772E7
16.116068,10.990799,10.965176,1.6877766E7
